"","","","Admitting that your tastes are different from those of a friend.","Going camping in the wilderness.","Betting a day's income at the horse races.","Investing 10% of your annual income in a moderate growth mutual fund.","Drinking heavily at a social function.","Taking some questionable deductions on your income tax return.","Disagreeing with an authority figure on a major issue.","Betting a day's income at a high-stake poker game.","Having an affair with a married man/woman.","Passing off somebody else's work as your own.","Going down a ski run that is beyond your ability.","Investing 5% of your annual income in a very speculative stock.","Going whitewater rafting at high water in the spring.","Betting a day's income on the outcome of a sporting event.","Engaging in unprotected sex.","Revealing a friend's secret to someone else.","Driving a car without wearing a seat belt.","Investing 10% of your annual income in a new business venture.","Taking a skydiving class.","Riding a motorcycle without a helmet.","Choosing a career that you truly enjoy over a more secure one.","Speaking your mind about an unpopular issue in a meeting at work.","Sunbathing without sunscreen.","Bungee jumping off a tall bridge.","Piloting a small plane.","Walking home alone at night in an unsafe area of town.","Moving to a city far away from your extended family.","Starting a new career in your mid-thirties.","Leaving your young children alone at home while running an errand.","Not returning a wallet you found that contains $200.","Admitting that your tastes are different from those of a friend.","Going camping in the wilderness.","Betting a day's income at the horse races.","Investing 10% of your annual income in a moderate growth mutual fund.","Drinking heavily at a social function.","Taking some questionable deductions on your income tax return.","Disagreeing with an authority figure on a major issue.","Betting a day's income at a high-stake poker game.","Having an affair with a married man/woman.","Passing off somebody else's work as your own.","Going down a ski run that is beyond your ability.","Investing 5% of your annual income in a very speculative stock.","Going whitewater rafting at high water in the spring.","Betting a day's income on the outcome of a sporting event.","Engaging in unprotected sex.","Revealing a friend's secret to someone else.","Driving a car without wearing a seat belt.","Investing 10% of your annual income in a new business venture.","Taking a skydiving class.","Riding a motorcycle without a helmet.","Choosing a career that you truly enjoy over a more secure one.","Speaking your mind about an unpopular issue in a meeting at work.","Sunbathing without sunscreen.","Bungee jumping off a tall bridge.","Piloting a small plane.","Walking home alone at night in an unsafe area of town.","Moving to a city far away from your extended family.","Starting a new career in your mid-thirties.","Leaving your young children alone at home while running an errand.","Not returning a wallet you found that contains $200.","Admitting that your tastes are different from those of a friend.","Going camping in the wilderness.","Betting a day's income at the horse races.","Investing 10% of your annual income in a moderate growth mutual fund.","Drinking heavily at a social function.","Taking some questionable deductions on your income tax return.","Disagreeing with an authority figure on a major issue.","Betting a day's income at a high-stake poker game.","Having an affair with a married man/woman.","Passing off somebody else's work as your own.","Going down a ski run that is beyond your ability.","Investing 5% of your annual income in a very speculative stock.","Going whitewater rafting at high water in the spring.","Betting a day's income on the outcome of a sporting event.","Engaging in unprotected sex.","Revealing a friend's secret to someone else.","Driving a car without wearing a seat belt.","Investing 10% of your annual income in a new business venture.","Taking a skydiving class.","Riding a motorcycle without a helmet.","Choosing a career that you truly enjoy over a more secure one.","Speaking your mind about an unpopular issue in a meeting at work.","Sunbathing without sunscreen.","Bungee jumping off a tall bridge.","Piloting a small plane.","Walking home alone at night in an unsafe area of town.","Moving to a city far away from your extended family.","Starting a new career in your mid-thirties.","Leaving your young children alone at home while running an errand.","Not returning a wallet you found that contains $200.","FINANCIAL SUBSCALE (RISK TAKING)","ETHICAL SUBSCALE (RISK TAKING)","HEALTH/SAFETY SUBSCALE (RISK TAKING)","RECREATIONAL SUBSCALE (RISK TAKING)","SOCIAL SUBSCALE(RISK TAKING)","RISK TAKING OVERALL SCALE SCORE","ETHICAL SUBSCALE (RISK PERCEPTION)","FINANCIAL SUBSCALE (RISK PERCEPTION)","HEALTH/SAFETY SUBSCALE (RISK PERCEPTION)","RECREATIONAL SUBSCALE(RISK PERCEPTION)","SOCIAL SUBSCALE (RISK PERCEPTION)","OVERALL SCALE TOTAL SCORE RISK PERCEPTION","ETHICAL SUBSCALE (EXPECTED BENEFITS)","FINANCIAL SUBSCALE (EXPECTED BENEFITS)","HEALTH/SAFETY SUBSCALE (EXPECTED BENEFITS)","RECREATIONAL SUBSCALE (EXPECTED BENEFITS)","SOCIAL SUBSCALE (EXPECTED BENEFITS)","OVERALL SCALE TOTAL (EXPECTED BENEFITS)"
"Anonymized ID","Subject Type","Visit","DOSP_01","DOSP_02","DOSP_03","DOSP_04","DOSP_05","DOSP_06","DOSP_07","DOSP_08","DOSP_9","DOSP_10","DOSP_11","DOSP_12","DOSP_13","DOSP_14","DOSP_15","DOSP_16","DOSP_17","DOSP_18","DOSP_19","DOSP_20","DOSP_21","DOSP_22","DOSP_23","DOSP_24","DOSP_25","DOSP_26","DOSP_27","DOSP_28","DOSP_29","DOSP_30","DOSP_31","DOSP_32","DOSP_33","DOSP_34","DOSP_35","DOSP_36","DOSP_37","DOSP_38","DOSP_39","DOSP_40","DOSP_41","DOSP_42","DOSP_43","DOSP_44","DOSP_45","DOSP_46","DOSP_47","DOSP_48","DOSP_49","DOSP_50","DOSP_51","DOSP_52","DOSP_53","DOSP_54","DOSP_55","DOSP_56","DOSP_57","DOSP_58","DOSP_59","DOSP_60","DOSP_61","DOSP_62","DOSP_63","DOSP_64","DOSP_65","DOSP_66","DOSP_67","DOSP_68","DOSP_69","DOSP_70","DOSP_71","DOSP_72","DOSP_73","DOSP_74","DOSP_75","DOSP_76","DOSP_77","DOSP_78","DOSP_79","DOSP_80","DOSP_81","DOSP_82","DOSP_83","DOSP_84","DOSP_85","DOSP_86","DOSP_87","DOSP_88","DOSP_89","DOSP_90","DOSP_92","DOSP_91","DOSP_93","DOSP_94","DOSP_95","DOSP_96","DOSP_97","DOSP_98","DOSP_99","DOSP_100","DOSP_101","DOSP_102","DOSP_103","DOSP_104","DOSP_105","DOSP_106","DOSP_107","DOSP_108"
"A00008326","Adult- Age 22-59","V2","6","7","1","7","1","4","6","1","1","1","1","4","6","1","2","2","5","1","5","1","4","7","2","5","1","2","4","6","1","1","1","1","7","4","6","6","4","7","7","7","7","5","3","7","6","4","4","6","4","7","4","5","7","4","7","6","3","3","7","1","1","6","1","6","1","4","1","1","1","1","1","4","6","1","1","1","1","4","7","1","6","4","1","4","4","1","4","4","1","7","15","10","13","25","33","96","32","36","36","26","20","150","15","17","6","28","20","86"
"A00029126","Adult- Age 22-59","V2","6","3","2","7","5","4","6","5","4","2","5","3","5","6","6","1","6","5","7","1","6","6","5","2","7","6","3","5","1","1","1","2","4","2","2","1","1","3","3","2","2","2","3","3","5","2","4","3","2","7","3","1","2","2","2","4","2","2","6","1","3","2","2","5","2","3","2","3","3","2","2","2","3","4","2","1","1","4","3","1","6","3","2","2","3","1","3","5","1","1","28","13","29","29","32","131","15","17","24","13","10","79","11","20","9","15","22","77"
"A00061647","ONE_DAY- Age 22-59","VA","6","5","1","5","1","1","5","1","1","1","1","1","5","1","5","2","1","2","3","1","5","6","1","1","2","3","6","6","1","1","1","3","7","4","7","6","2","7","7","7","7","7","3","6","3","3","7","3","4","7","3","2","7","7","5","5","2","2","7","7","1","4","1","4","1","1","4","1","1","1","1","2","3","1","3","3","1","3","4","1","4","4","1","1","3","3","4","4","1","1","11","7","12","17","34","81","37","34","36","29","12","148","8","12","10","16","21","67"
"A00055542","Adult- Age 22-59","V2","7","6","1","5","5","4","7","1","1","1","1","4","3","1","1","2","1","6","7","1","7","7","5","7","6","7","7","7","5","1","1","4","7","2","5","6","4","7","7","7","7","5","7","7","7","7","5","5","4","7","2","3","5","3","3","4","2","2","3","1","7","7","3","5","4","4","5","3","3","1","4","5","4","3","2","1","1","6","7","1","7","5","3","7","7","4","7","7","3","4","18","14","20","30","42","124","31","33","33","28","14","139","16","25","15","36","38","130"
"A00055447","ENROLLED","V2","7","2","1","7","2","4","7","1","1","1","3","6","4","1","1","1","1","7","3","1","6","7","2","3","5","5","6","7","1","1","1","3","7","4","1","2","1","7","1","1","4","6","4","7","7","1","4","6","4","6","1","5","5","4","4","4","3","1","7","1","1","3","3","5","1","3","2","3","5","5","2","6","2","3","1","1","1","5","3","1","6","3","1","2","4","2","5","6","1","1","23","9","12","20","40","104","13","37","27","23","12","112","16","25","7","16","23","87"
"A00043299","Adult- Age 22-59","V2","6","2","1","7","6","1","1","1","1","1","2","6","2","1","1","1","1","1","1","1","7","6","1","1","1","2","1","7","1","1","4","2","5","4","3","6","6","6","7","7","5","6","5","5","7","7","7","7","7","7","5","4","7","7","7","6","6","2","7","3","4","7","6","7","2","4","1","6","1","1","7","4","4","4","7","1","1","7","7","1","7","4","1","7","7","1","4","7","1","4","17","6","12","9","28","72","37","33","37","33","27","167","12","34","13","39","27","125"
"A00051925","Adult- Age 22-59","V2","7","3","1","2","1","4","5","1","5","1","1","1","6","1","3","1","1","1","7","1","3","5","5","1","3","2","2","7","1","1","3","3","7","7","7","5","5","7","6","6","7","7","4","7","7","7","7","7","5","7","5","5","5","7","6","6","4","4","7","1","3","5","1","1","1","4","4","1","6","1","1","1","4","1","2","1","1","1","4","1","5","5","2","1","4","2","4","5","1","4","7","13","13","21","29","83","32","42","39","32","26","171","17","6","9","19","26","77"
"A00038957","Adult- Age 22-59","V2","5","5","1","6","1","5","5","1","1","1","5","5","6","1","1","1","3","5","5","5","5","5","1","3","1","5","2","5","1","1","1","3","7","4","7","5","5","7","7","6","6","4","5","5","5","6","6","6","5","6","6","5","5","6","6","6","4","5","6","3","3","1","1","5","6","4","4","6","1","1","5","6","1","5","1","1","1","6","4","1","5","3","1","1","1","1","4","5","1","1","19","10","16","25","27","97","33","33","35","31","26","158","9","29","11","13","24","86"
"A00060185","Older Adult- Age 65-85","V2","6","6","2","7","1","1","5","1","2","1","1","6","1","1","1","3","6","6","1","1","7","6","5","1","1","5","6","5","4","1","1","2","3","3","4","5","3","6","6","6","4","4","5","5","7","6","6","4","2","7","2","3","3","5","3","4","2","1","6","3","4","4","2","3","1","1","2","1","2","2","2","3","2","2","1","1","1","3","2","1","3","3","2","1","2","2","4","4","1","1","23","12","19","11","35","100","32","25","31","21","12","121","8","14","8","13","20","63"
