"","","","Writing:","Do you ever use the other hand?","Drawing:","Do you ever use the other hand?","Throwing:","Do you ever use the other hand?","Using Scissors:","Do you ever use the other hand?","Using a Toothbrush:","Do you ever use the other hand?","Using a Knife (without a fork):","Do you ever use the other hand?","Using a Spoon:","Do you ever use the other hand?","Using a Broom (upper hand):","Do you ever use the other hand?","Striking a Match:","Do you ever use the other hand?","Opening a Box (holding the lid):","Do you ever use the other hand?","Holding a Computer Mouse:","Do you ever use the other hand?","Using a Key to Unlock a Door:","Do you ever use the other hand?","Holding a Hammer:","Do you ever use the other hand?","Holding a Brush or Comb:","Do you ever use the other hand?","Holding a Cup while Drinking:","Do you ever use the other hand?","LATERALITY INDEX","DECILE"
"Anonymized ID","Subject Type","Visit","DEHQ_01A","DEHQ_01B","DEHQ_02A","DEHQ_02B","DEHQ_03A","DEHQ_03B","DEHQ_04A","DEHQ_04B","DEHQ_05A","DEHQ_05B","DEHQ_06A","DEHQ_06B","DEHQ_07A","DEHQ_07B","DEHQ_08A","DEHQ_08B","DEHQ_9A","DEHQ_09B","DEHQ_10A","DEHQ_10B","DEHQ_11A","DEHQ_11B","DEHQ_12A","DEHQ_12B","DEHQ_13A","DEHQ_13B","DEHQ_14A","DEHQ_14B","DEHQ_15A","DEHQ_15B","DEHQ_16","DEHQ_17"
"A00066153","ONE_DAY","VA","3","0","3","0","3","0","3","0","3","0","3","0","3","0","2","1","3","0","3","0","3","0","3","0","3","0","3","0","3","1","90","7TH RIGHT"
"A00053455","ENROLLED","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","95","9TH RIGHT"
"A00073230","ENROLLED","VA_ALG","3","0","3","0","3","1","3","0","3","1","3","0","3","0","3","0","3","0","3","1","3","0","3","0","3","0","3","1","3","1","85","6TH RIGHT"
"A00034350","Child-Age 11","V1","3","0","3","0","3","1","2","1","2","1","3","0","3","1","2","1","3","0","3","0","3","0","3","0","3","0","3","1","2","1","60","2ND RIGHT"
"A00033734","Older Adult- Age 60-64","V1","3","0","3","0","3","0","3","0","3","1","3","0","3","0","3","0","3","1","3","1","3","0","3","0","3","0","3","1","3","1","85","6TH RIGHT"
"A00066781","ONE_DAY","VA","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","0","3","1","3","0","3","1","3","0","3","1","3","1","90","7TH RIGHT"
"A00059875","Child -Age 8","V1","3","1","3","1","2","1","3","0","2","1","2","0","3","0","3","1","2","0","1","1","3","0","3","0","2","0","3","1","2","0","30","MIDDLE"
"A00039159","Adult-Age 18-21","V1","3","0","3","0","3","0","3","0","3","1","3","1","3","1","3","1","3","1","2","1","3","0","3","0","3","0","3","1","3","1","65","2ND RIGHT"
"A00037725","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","1","3","0","3","1","3","1","3","1","3","1","3","0","3","0","85","6TH RIGHT"
"A00031452","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","1","1","3","0","3","1","3","0","3","0","3","0","85","6TH RIGHT"
"A00050743","Child Age 15","V1","3","0","3","0","3","1","3","0","3","0","3","0","3","1","3","1","3","0","3","1","3","0","3","1","3","0","3","1","3","1","80","5TH RIGHT"
"A00073953","ENROLLED","VA_ALG","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","100","10TH RIGHT"
"A00028521","Older Adult- Age 65-85","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","100","10TH RIGHT"
"A00035879","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","2","1","2","1","2","1","2","1","2","1","2","1","2","1","2","1","3","0","2","1","2","1","40","MIDDLE"
"A00060575","Older Adult- Age 65-85","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","1","100","10TH RIGHT"
"A00066282","ONE_DAY- Age 22-59","VA","3","1","3","1","3","1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","85","6TH RIGHT"
"A00056198","Child Age 9-10","V1","3","0","3","0","3","1","2","0","1","1","3","0","3","1","2","0","2","0","2","0","3","0","3","1","3","0","2","0","2","0","35","MIDDLE"
"A00055727","Child -Age 8","V1","3","0","3","1","3","1","3","0","3","1","1","0","3","1","3","1","3","0","3","1","3","0","3","1","3","0","3","0","3","1","50","1ST RIGHT"
"A00058003","Child Age 8","V1","3","0","3","0","3","0","3","0","3","0","2","0","3","0","3","0","3","0","3","1","3","0","3","0","3","1","3","0","3","0","85","6TH RIGHT"
"A00057372","ENROLLED","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","2","1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","90","7TH RIGHT"
"A00037160","Adult-Age 18-21","V1","3","0","3","0","3","0","3","0","3","1","3","1","2","1","1","1","3","1","2","1","3","0","3","1","3","0","2","1","2","1","50","1ST RIGHT"
"A00065722","ONE_DAY- Age 22-59","VA","3","0","3","0","3","1","3","0","3","0","3","0","3","0","3","1","3","0","3","1","3","0","3","0","3","0","3","1","2","1","85","6TH RIGHT"
"A00028605","Adult- Age 22-59","V1","1","0","1","0","3","0","3","1","1","0","1","0","1","0","1","1","3","0","3","1","3","1","1","1","3","0","1","0","1","1","-25","MIDDLE"
"A00061634","ONE_DAY- Age 22-59","VA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A00066090","ONE_DAY- Age 22-59","VA","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","2","0","3","0","3","0","3","0","3","0","100","10TH RIGHT"
"A00037375","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","1","3","0","3","1","3","1","3","1","3","1","3","1","3","0","3","0","3","1","3","1","75","4TH RIGHT"
"A00067174","ENROLLED","VA_ALG","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","1","3","0","3","1","3","0","3","1","3","1","90","7TH RIGHT"
"A00060006","ENROLLED","V1","3","0","3","0","3","0","3","0","3","1","3","0","3","1","3","1","3","0","3","1","3","0","3","1","3","0","3","1","3","1","80","5TH RIGHT"
"A00057035","ENROLLED","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","0","3","1","3","0","3","0","3","0","3","1","3","1","90","7TH RIGHT"
"A00061274","ONE_DAY-Age 65-85","VA","3","0","3","0","3","1","3","0","3","0","3","1","3","0","2","1","3","0","2","1","3","0","3","1","3","0","3","1","3","1","70","3RD RIGHT"
"A00050911","Older Adult- Age 65-85","V1","3","0","3","0","2","1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","90","7TH RIGHT"
"A00028400","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","2","1","3","0","3","1","3","0","3","0","3","0","3","1","3","1","85","6TH RIGHT"
"A00053873","Child Age 6","V1","1","1","1","1","3","1","1","0","2","0","2","0","1","1","1","0","1","0","1","1","3","0","2","0","2","0","2","0","1","1","-45","2ND LEFT"
"A00053390","Child Age 14","V1","3","0","3","0","3","0","3","0","3","1","3","0","3","0","1","1","3","0","3","1","3","0","3","0","3","0","3","0","2","1","75","4TH RIGHT"
"A00060099","Child Age 12","V1","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","1","3","1","3","1","3","0","3","0","3","0","3","0","3","1","80","5TH RIGHT"
"A00066389","ONE_DAY-Age 65-85","VA","1","0","1","0","1","0","1","0","1","1","1","1","1","1","3","1","1","1","1","1","3","0","1","0","1","0","1","1","1","1","-60","3RD LEFT"
"A00033180","Adult-Age 18-21","V1","3","0","3","0","3","1","3","0","3","1","3","0","3","0","3","1","3","0","2","1","3","1","3","1","3","0","3","1","2","1","75","4TH RIGHT"
"A00038522","Adult- Age 22-59","V1","3","0","3","0","3","0","3","1","3","1","3","0","3","0","3","0","3","1","3","1","3","0","3","0","3","0","3","1","3","1","80","5TH RIGHT"
"A00052181","ENROLLED","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","100","10TH RIGHT"
"A00055728","Child Age 9-10","V1","3","1","3","0","3","0","3","0","3","0","3","0","3","1","2","1","3","0","3","1","3","0","3","0","3","0","3","1","3","1","75","4TH RIGHT"
"A00058644","Older Adult- Age 65-85","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","1","0","3","0","1","0","3","0","3","0","3","0","3","0","3","0","60","2ND RIGHT"
"A00060773","ENROLLED","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","2","1","3","0","2","1","3","0","3","0","3","0","3","0","2","1","80","5TH RIGHT"
"A00018030","Child-Age 11","V1","1","0","1","0","1","0","1","0","1","1","1","0","1","0","1","1","1","0","1","0","3","0","1","0","1","0","1","0","1","0","-90","7TH LEFT"
"A00030981","Child - Age 14","V1","3","0","3","0","3","0","3","0","3","0","3","1","3","0","1","0","2","1","3","0","3","0","3","1","3","0","3","1","3","1","65","2ND RIGHT"
"A00030989","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","1","0","3","0","1","0","3","0","3","0","3","0","3","1","3","1","60","2ND RIGHT"
"A00033748","Adult- Age 22-59","V1","1","0","3","0","3","0","3","0","3","1","3","0","3","0","1","1","3","0","3","1","3","0","3","1","3","1","3","1","3","1","55","1ST RIGHT"
