"","","","Volunteer Education Code:","Volunteer Highest grade completed:","Volunteer Highest Occupational Code:","Volunteer Highest job title/description:","Spouse/Significant Other Education Code:","Spouse/Significant Other Highest grade completed:","Spouse/Significant Other Highest Occupational Code:","Spouse/Significant Other Highest job title/description:","Maternal/Guardian #1 Education Code: (Reference age 16)","Maternal/Guardian #1 Highest grade completed:","Highest Maternal/Guardian #1 Occupational Code:","Highest Maternal/Guardian #1 job title/description:","Paternal/Guardian #2 Education Code:","Paternal/Guardian #2 Highest grade completed:","Highest Paternal/Guardian #2 Occupational Code:","Highest Paternal/Guardian #2  job title/description:","Subject SES Score","Subject Parental SES Score"
"Anonymized ID","Subject Type","Visit","NKISES_01A","NKISES_01B","NKISES_02A","NKISES_02B","NKISES_03A","NKISES_03B","NKISES_04A","NKISES_04B","NKISES_05A","NKISES_05B","NKISES_06A","NKISES_06B","NKISES_07A","NKISES_07B","NKISES_08A","NKISES_08B","NKISES_09","NKISES_10"
"A00065974","ONE_DAY- Age 22-59","VA","5","14","6","RETAIL MANAGER","6","16","9","VP OF MULTINATIONAL COMPANY","5","14","6","HOSPITAL ADMINISTRATOR","5","13","4","ELECTRICIAN","54","40"
"A00057445","Adult- Age 22-59","V1","7","18","9","INVESTMENT MANAGEMENT","6","16","9","OWNER OF MANUFACTURING COMPANY","6","16","7","TEACHER ELEMENTARY","6","16","8","PHARMACIST","64.5","55.5"
"A00061725","ONE_DAY-Age 65-85","VA","6","16","8","RN","7","18","9","ENGINEER","4","12","1","HOMEMAKER","4","12","5","CLERK","62","37"
"A00031871","Adult- Age 22-59","V1","7","18","7","ASSISTANT DIRECTOR OF ADMISSIONS","6","16","6","QUALITY ASSURANCE MANAGER","4","12","5","SECRETARY","4","12","6","BLACKTOP FOREMAN","52","39.5"
"A00073296","ONE_DAY-Age 65-85","VA","7","18","8","SPECIAL EDUCATION TEACHER, HS","0","NA","0","NA","5","13","5","STORE CLERK FOR PHARMACY","6","16","8","PHARMACIST","61","49"
"A00051456","Older Adult- Age 60-64","V1","5","14","5","CLINICAL WORKER","0","NA","0","NA","1","6","0","HOUSEWIFE","4","12","2","CONSTRUCTION","40","22"
"A00033747","ENROLLED","V1REP","7","18","3","DIRECT SUPPORT PROFESSIONAL IN GROUP HOME","0","NA","0","NA","4","12","6","SUPERVISOR IN NURSING HOME","4","12","1","JANITOR","36","29.5"
"A00054857","ENROLLED","V1","7","18","8","HS MATH TEACHER","7","18","8","SOFTWARE DEVELOPER","7","18","9","ASTRONOMER","7","18","9","COLLEGE PROFESSOR","61","66"
"A00053455","ENROLLED","V1","6","16","5","ADMINISTRATIVE ASSISTANT - NON PROFIT","0","N/A","0","N/A","7","18","7","SOCIAL WORKER","6","16","5","BUSINESS OWNER","43","49.5"
"A00028766","Adult-Age 18-21","V1","4","12","2","BUSBOY","0","NA","0","NA","5","13","5","CHILD COUNSELOR","0","NA","0","NA","22","40"
"A00044154","Adult- Age 22-59","V1","7","18","7","DIRECT SALES","6","16","6","PLUMBING AND HEATING BUSINESS OWNER","4","12","5","CLERICAL WORK AT HIGH SCHOOL","4","12","7","DETECTIVE","52","42"
"A00033011","Adult- Age 22-59","V1","7","18","8","INTERNATIONAL CONSULTANT, INTERNAL AUDITOR","0","NA","0","NA","6","16","8","REGISTERED NURSE","6","16","4","BAKER IN A BAKERY","66","48"
"A00040382","Older Adult- Age 65-85","V1","7","18","8","PHARMACIST","0","NA","0","NA","4","12","5","BOOKKEEPER","0","NA","0","NA","61","37"
"A00054914","ENROLLED","V1","7","18","7","MANAGER APPLIED BEHAVIOR ANALYSIS","0","NA","0","NA","5","14","6","SECRETARY","5","14","6","POLICE OFFICER","56","45"
"A00055446","ENROLLED","V1","5","13","7","PRESCHOOL TEACHER","0","N/A","0","N/A","5","13","3","SEAMSTRESS","6","16","8","SUPERVISOR AT A PHARMACY","50","44"
"A00065743","ENROLLED","VA_ALG","6","16","8","REGISTERED NURSE","5","14","6","CERTIFIED TECHNICIAN","4","12","1","HOMEMAKER","7","18","9","LAWYER","51.5","66"
"A00033834","Adult- Age 22-59","V1","5","14","6","ADMINISTRATIVE ASSISTANT","0","NA","0","NA","2","8","4","SEAMSTRESS","3","10","6","MECHANICAL TECHNICIAN","45","32.5"
"A00055542","Adult- Age 22-59","V1","6","16","6","PRODUCTION MANAGER","0","NA","0","NA","7","19","6","DEAN OF THEOLOGICAL SEMINARY","4","12","7","PRODUCER FOR TRADE SHOWS/SALES REP","48","46.5"
"A00060005","ONE_DAY- Age 22-59","VA","7","18","8","SPEECH PATHOLOGIST","7","19","9","LAWYER","2","8","1","HOMEMAKER","5","13","6","BRANCH MANAGER - WHOLESALE DISTRIBUTOR","63.5","45"
"A00060169","ENROLLED","V1","7","18","3","CAMP COUNSELOR","0","NA","0","NA","5","14","8","RN","6","16","2","CONSTRUCTION","36","41.5"
"A00039559","Older Adult- Age 65-85","V1","6","16","6","DEPARTMENT MANAGER","5","14","6","INTERNAL AUDITOR FOR BANK, BRANCH MANAGER","3","10","2","MEAT DEPARTMENT OF GROCERY STORE","3","10","1","CUSTODIAN","46.5","16.5"
"A00072203","ONE_DAY","VA","4","12","6","MANAGER AT HAIR SALON","4","12","1","CUSTODIAN","4","12","6","MANAGER AT HAIR SALON","4","12","6","MANAGER AT BARBER SHOP","29.5","42"
"A00035072","Adult- Age 22-59","V1","6","16","1","HOUSEWIFE","5","14","6","COMPUTER NETWORK ENGINEER","6","16","5","BOOKKEEPING","5","14","6","NYPD POLICE OFFICER","45","44"
"A00037170","Adult- Age 22-59","V1","6","16","4","SKILLED MANUAL WORKER","6","16","6","ADMINISTRATIVE ASSISTANT","1","6","3","HOUSEKEEPING","0","NA","0","NA","43","18"
"A00038642","ONE_DAY","VA-REP","6","16","7","KINDERGARTEN TEACHER","0","NA","0","NA","4","12","6","SECRETARY","4","12","4","POST OFFICE/CARRIER","53","37"
"A00032875","Adult- Age 22-59","V1","7","18","7","PRESCHOOL TEACHER","5","13","4","MANAGER AT MCDONALD'S","7","18","7","PRE-K TEACHER","7","18","7","ELEMENTARY SCHOOL TEACHER","45.5","56"
"A00040740","Adult- Age 22-59","V1","4","12","2","STOCK/WAREHOUSE","0","NA","0","NA","0","NA","3","AIDE IN NURSING HOME","0","NA","3","TAXI CAB DRIVER","22","NA"
"A00040594","Adult- Age 22-59","V1","4","12","6","GENERAL MANAGER","0","NA","0","NA","5","14","6","SECRETARY","4","12","3","SHEET METAL WORKER","42","36"
"A00065749","ONE_DAY-Age 60-64","VA","4","12","7","MANAGER- LIFE INSURANCE","7","18","7","TRANSLATOR","4","12","1","HOMEMAKER","5","13","3","SAILOR","51.5","30"
