"","","","I tend to be quite wrapped up and interested in whatever I am doing.","A really original idea can sometimes develop from a really fantastic dream.","In my fantasies, a friend discoveres I have lied.","I do not really 'see' the objects in a daydream.","I am the kind of person whose thoughts often wander.","In my dreams, I see myself as an expert, whose opinion is sought by all.","Sometimes an answer to a dificult problem will come to me during a daydream.","My mind seldom wanders from my work.","I imagine myself failing those I love.","I picture myself as I will be several years from now.","I find that I easily lose interest in things that I have to do.","My daydreams often contain depressing events which upset me.","I am not easily distracted.","In my dreams, I show my anger toward my enemies.","My fantasies usually provide me with pleasant thoughts.","My ability to concentrate is not impaired by someone talking in another part of my house or apartament.","The sounds I hear in my daydreams are clear and distinct.","I imagine myself not being able to finish a job I am required to do.","Daydreaming never solves any problems.","No matter how hard I try to concentrate, thoughts unrelated to my work always creep in.","In my daydreams I become angry and even antagonistic towards others.","My daydreams are often stimulating and rewarding.","I can work at something for a long time without feeling the least bit bored or restless.","In my daydreams, I am always afraid of being caught doing something wrong.","Faced with a tedious job, I notice all the other things that I could be doing.","I seldom think about what I will be doing in the future.","In my fantasies, I receive an award before a large audience.","My daydreams offer me useful clues to tricky situations I face.","I tend to be easily bored.","Unpleasant daydrems don't frighten or bother me.","The 'pictures' in my mind seem as clear as photographs.","In my daydreams, I fear meeting new responsibilities in life.","I find it hard to read when someone is on the telephone in a neighboring room.","I find myself imagining ways of getting even with those I dislike.","I am seldom bored.","My daydreams often leave me with a warm, happy feeling.","I picture myself accepted into an organization for successful individuals only.","Daydreams do not have any practical significance for me.","I find it difficult to concentrate when the TV or radio is on.","I daydream about what I would like to see happen in the future.","In my daydreams I feel guilty for having escaped punishment.","My thoughts seldom drift from the subject before me.","I find my daydreams are worthwhile and interesting to me.","I never panic as the result of a daydream.","I have difficulty maintaining concentration for long periods of time.","PCD Score","GFD Score","PAC Score","Total Score"
"Anonymized ID","Subject Type","Visit","CCDSIPI_01","CCDSIPI_02","CCDSIPI_03","CCDSIPI_04","CCDSIPI_05","CCDSIPI_06","CCDSIPI_07","CCDSIPI_08","CCDSIPI_09","CCDSIPI_10","CCDSIPI_11","CCDSIPI_12","CCDSIPI_13","CCDSIPI_14","CCDSIPI_15","CCDSIPI_16","CCDSIPI_17","CCDSIPI_18","CCDSIPI_19","CCDSIPI_20","CCDSIPI_21","CCDSIPI_22","CCDSIPI_23","CCDSIPI_24","CCDSIPI_25","CCDSIPI_26","CCDSIPI_27","CCDSIPI_28","CCDSIPI_29","CCDSIPI_30","CCDSIPI_31","CCDSIPI_32","CCDSIPI_33","CCDSIPI_34","CCDSIPI_35","CCDSIPI_36","CCDSIPI_37","CCDSIPI_38","CCDSIPI_39","CCDSIPI_40","CCDSIPI_41","CCDSIPI_42","CCDSIPI_43","CCDSIPI_44","CCDSIPI_45","CCDSIPI_46","CCDSIPI_47","CCDSIPI_48","CCDSIPI_49"
"A00061711","ONE_DAY","V3","4","3","2","3","3","3","3","4","4","2","2","1","4","3","4","4","3","3","3","2","2","3","4","3","2","4","3","3","2","4","3","3","2","3","4","3","4","3","3","4","2","4","3","4","2","45","40","32","117"
"A00060925","ENROLLED","V3","5","3","3","4","4","4","4","3","3","3","3","3","4","3","3","3","3","3","3","5","5","4","4","3","2","4","3","4","5","4","5","3","3","2","2","3","3","3","2","3","4","3","3","5","5","48","45","47","140"
"A00066087","ONE_DAY","V3","4","5","3","4","5","4","4","4","2","5","4","2","1","1","4","1","3","4","2","4","2","4","2","3","4","4","4","4","4","3","3","4","4","2","4","4","3","2","4","4","2","3","4","3","4","56","42","56","154"
"A00056306","ENROLLED","V3","3","2","1","1","3","1","1","2","2","2","2","1","2","1","3","3","1","1","3","2","1","3","2","1","3","3","1","2","3","3","3","1","3","1","2","3","1","4","3","4","1","1","3","5","4","44","18","50","112"
"A00054441","ENROLLED","V3","5","1","1","5","2","1","2","4","2","4","2","1","5","1","1","5","1","3","5","2","1","1","4","1","4","2","1","1","2","3","1","4","2","3","2","3","3","5","2","1","1","3","3","3","1","30","29","31","90"
"A00066246","ONE_DAY","V3","5","5","5","1","5","5","5","5","5","5","5","3","2","3","5","5","5","5","1","2","5","5","5","5","5","5","5","5","5","3","3","3","3","3","3","3","3","3","3","3","3","3","3","5","4","57","57","46","160"
"A00056949","ENROLLED","V3","5","3","1","1","5","5","2","1","2","1","3","2","1","4","5","2","3","2","3","1","1","4","1","1","4","1","1","1","5","2","1","1","4","4","2","3","4","2","1","5","1","1","4","4","5","49","35","57","141"
"A00043704","ENROLLED","V3","5","5","2","3","3","4","2","4","3","2","3","2","3","2","4","5","4","3","3","4","2","3","4","2","4","4","3","2","3","4","2","3","4","2","3","4","5","2","3","3","1","5","2","2","3","43","40","40","123"
"A00060169","ENROLLED","V3","3","2","1","1","3","2","2","4","2","4","1","2","4","1","3","4","4","3","4","3","2","3","4","2","4","1","1","2","4","3","4","2","3","1","2","3","1","5","4","4","1","2","2","5","2","44","25","43","112"
"A00057035","ENROLLED","V3","3","4","1","2","5","3","3","3","2","3","2","2","2","3","5","4","3","2","4","4","1","3","3","2","4","3","2","3","4","4","4","2","3","2","2","4","3","3","2","3","2","3","3","5","4","50","30","50","130"
"A00060259","ENROLLED","V3","3","2","1","4","3","1","1","3","1","4","3","3","2","3","3","2","2","4","4","4","2","3","2","3","4","2","1","1","3","3","2","2","4","2","4","3","1","4","4","3","2","2","2","5","3","38","30","52","120"
"A00054504","ENROLLED","V3","5","4","1","3","4","2","2","4","3","4","2","1","3","1","4","3","1","2","3","2","1","3","4","2","2","2","2","2","4","1","3","3","4","1","3","4","2","4","4","4","1","3","4","4","3","51","29","42","122"
"A00043677","ENROLLED","V3","4","4","2","5","4","1","4","3","1","3","2","1","3","2","4","2","2","3","3","2","2","3","4","3","2","1","1","1","4","4","3","3","4","1","2","3","3","2","4","3","1","2","3","5","2","48","27","46","121"
"A00060773","ENROLLED","V3","3","4","5","2","4","4","3","2","4","5","4","4","2","4","4","2","2","4","2","3","2","4","2","4","5","1","3","3","3","1","3","5","4","4","3","4","3","4","3","5","4","2","4","2","4","58","59","56","173"
"A00056898","ENROLLED","V3","5","5","1","3","5","5","5","5","4","4","4","3","1","4","4","1","3","3","3","4","1","4","3","1","4","2","2","3","4","1","1","1","2","5","2","5","5","1","2","4","4","4","4","1","5","57","49","51","157"
"A00052560","ENROLLED","V3","5","4","2","1","2","2","4","2","3","2","2","2","4","4","3","4","5","2","1","3","2","3","4","2","2","1","1","3","2","5","5","1","1","4","4","3","1","2","2","4","1","2","4","5","1","55","29","32","116"
"A00043299","ENROLLED","V3","5","2","1","5","5","3","2","1","5","4","2","2","3","4","5","4","1","1","3","3","1","4","3","3","3","1","1","4","3","1","3","4","4","1","3","3","3","4","5","5","3","3","3","5","4","51","38","49","138"
"A00055373","ENROLLED","V3","5","5","1","2","3","2","2","2","2","4","2","2","4","3","5","5","3","3","1","2","1","5","4","1","4","1","4","5","1","3","4","1","4","4","4","5","5","1","1","4","3","2","5","5","2","66","36","35","137"
"A00028352","ENROLLED","V3","4","4","1","2","4","2","4","2","2","4","2","1","2","1","4","2","2","2","1","4","1","4","2","1","2","1","3","4","3","2","5","1","2","1","2","4","4","2","1","4","1","2","4","4","3","63","27","47","137"
"A00065487","ONE_DAY","V3","4","2","2","2","2","1","4","2","2","3","1","1","2","4","4","4","3","1","2","2","1","3","4","1","2","2","1","4","2","2","2","1","1","1","5","3","2","2","1","2","1","2","4","5","1","50","24","31","105"
"A00033747","ENROLLED","V3","4","4","1","3","1","2","3","2","2","4","1","1","3","1","4","4","3","1","3","1","1","3","3","2","2","4","1","4","1","3","3","3","4","1","1","3","4","3","2","2","1","1","3","3","1","47","27","37","111"
"A00055447","ENROLLED","V3","5","5","1","4","3","2","2","2","1","2","2","2","5","4","2","4","4","2","3","2","2","3","5","3","2","3","1","4","3","4","3","2","4","2","2","3","3","2","3","4","1","4","4","5","1","46","29","35","110"
"A00058503","ENROLLED","V3","4","2","3","2","4","2","3","1","2","3","1","3","2","1","3","2","3","1","3","4","3","3","4","3","4","2","3","3","2","3","3","3","2","2","5","3","3","3","3","4","3","1","3","3","4","47","38","47","132"
"A00062934","ONE_DAY","V3","5","4","1","4","4","1","1","4","2","4","2","1","3","1","4","1","3","1","3","2","1","3","2","2","3","1","2","1","4","5","4","2","5","1","1","4","3","4","4","5","1","2","3","5","4","48","21","52","121"
"A00040623","ENROLLED","V3","1","1","1","1","5","1","1","5","5","5","5","5","5","5","5","1","1","1","5","5","5","5","1","5","5","1","1","5","1","1","1","1","5","5","1","5","5","5","1","5","5","5","5","1","5","55","55","55","165"
"A00059344","ENROLLED","V3","5","4","1","3","1","4","4","4","3","4","2","2","4","4","5","4","4","1","3","2","3","4","5","2","4","1","2","4","2","4","4","1","2","1","3","4","3","3","2","4","1","4","4","5","2","57","31","30","118"
"A00038642","ONE_DAY","V3","4","3","1","2","4","1","3","2","4","4","3","3","2","2","4","2","3","4","3","4","2","4","2","1","4","2","1","2","5","2","4","1","5","3","2","3","2","3","4","4","1","2","4","5","5","52","31","60","143"
"A00062917","ONE_DAY","V3","4","3","1","2","5","3","2","2","3","5","2","2","2","1","4","4","3","1","3","3","1","4","1","1","4","1","2","3","5","3","4","1","3","1","1","3","3","3","3","5","1","2","3","4","4","54","26","55","135"
"A00057203","ENROLLED","V3","4","1","1","4","4","3","1","3","1","4","2","3","2","3","4","4","1","1","3","2","3","3","1","1","4","2","1","2","4","4","1","4","5","1","2","3","3","3","5","4","1","2","3","3","4","43","31","54","128"
"A00053455","ENROLLED","V3","3","4","1","1","4","3","2","3","2","3","2","4","3","1","5","4","3","3","4","2","2","5","5","3","4","2","3","2","2","3","4","2","3","2","3","5","2","1","5","5","1","3","5","5","2","59","33","42","134"
"A00062210","ONE_DAY","V3","5","3","1","3","1","1","4","4","1","4","1","1","5","3","4","5","3","1","3","1","1","4","5","1","1","3","3","3","1","3","3","1","1","1","5","3","3","5","1","4","1","5","3","5","1","48","23","16","87"
"A00057786","ENROLLED","V3","4","1","1","2","4","5","4","4","1","5","2","4","2","5","4","1","5","2","3","5","4","3","2","1","4","1","4","2","4","2","2","1","5","4","2","3","5","4","5","5","1","2","2","5","4","46","43","58","147"
"A00066232","ENROLLED","V3","3","4","2","4","3","2","4","3","2","4","3","2","4","3","4","4","3","2","2","2","1","3","4","2","3","4","2","3","3","2","2","2","2","2","2","3","2","3","2","4","2","3","4","3","2","49","33","39","121"
"A00057182","ENROLLED","V3","5","2","2","4","3","2","2","2","1","4","2","2","3","5","4","2","2","1","3","2","2","4","2","2","5","1","4","3","2","4","2","3","5","4","4","3","4","2","4","5","1","2","4","4","2","51","37","47","135"
